post_id,true_label,pred_label,explanation_id,faithfulness,clinical_relevance,actionability
1,minimum,minimum,SHAP,4,2,2
1,minimum,minimum,CoT_A,4,5,3
1,minimum,minimum,CoT_B,2,2,2
2,minimum,minimum,SHAP,4,2,2
2,minimum,minimum,CoT_A,3,4,3
2,minimum,minimum,CoT_B,4,4,3
3,minimum,minimum,SHAP,4,2,2
3,minimum,minimum,CoT_A,3,3,2
3,minimum,minimum,CoT_B,4,4,3
4,minimum,minimum,SHAP,4,3,3
4,minimum,minimum,CoT_A,1,1,1
4,minimum,minimum,CoT_B,4,4,3
5,minimum,minimum,SHAP,4,2,2
5,minimum,minimum,CoT_A,4,4,4
5,minimum,minimum,CoT_B,4,4,4
6,minimum,minimum,SHAP,4,3,4
6,minimum,minimum,CoT_A,4,4,3
6,minimum,minimum,CoT_B,2,3,2
7,minimum,moderate,SHAP,4,2,3
7,minimum,moderate,CoT_A,4,3,3
7,minimum,moderate,CoT_B,3,4,3
8,minimum,severe,SHAP,4,2,2
8,minimum,severe,CoT_A,3,3,3
8,minimum,severe,CoT_B,4,4,4
9,mild,mild,SHAP,4,3,3
9,mild,mild,CoT_A,4,4,4
9,mild,mild,CoT_B,4,4,4
10,mild,mild,SHAP,4,3,3
10,mild,mild,CoT_A,4,4,4
10,mild,mild,CoT_B,4,3,3
11,mild,mild,SHAP,4,2,3
11,mild,mild,CoT_A,3,4,3
11,mild,mild,CoT_B,4,4,4
12,mild,mild,SHAP,4,3,3
12,mild,mild,CoT_A,4,4,3
12,mild,mild,CoT_B,3,3,3
13,mild,mild,SHAP,4,3,3
13,mild,mild,CoT_A,3,3,3
13,mild,mild,CoT_B,4,3,4
14,mild,mild,SHAP,4,2,3
14,mild,mild,CoT_A,3,4,3
14,mild,mild,CoT_B,4,3,3
15,mild,minimum,SHAP,4,2,2
15,mild,minimum,CoT_A,4,3,3
15,mild,minimum,CoT_B,3,3,3
16,mild,moderate,SHAP,4,2,3
16,mild,moderate,CoT_A,4,3,3
16,mild,moderate,CoT_B,3,4,3
17,moderate,moderate,SHAP,4,2,3
17,moderate,moderate,CoT_A,3,4,3
17,moderate,moderate,CoT_B,4,3,3
18,moderate,moderate,SHAP,4,2,2
18,moderate,moderate,CoT_A,4,3,3
18,moderate,moderate,CoT_B,3,4,4
19,moderate,moderate,SHAP,4,2,3
19,moderate,moderate,CoT_A,4,3,3
19,moderate,moderate,CoT_B,3,3,4
20,moderate,moderate,SHAP,4,2,2
20,moderate,moderate,CoT_A,3,4,4
20,moderate,moderate,CoT_B,4,3,3
21,moderate,moderate,SHAP,4,2,3
21,moderate,moderate,CoT_A,4,4,3
21,moderate,moderate,CoT_B,3,3,3
22,moderate,moderate,SHAP,4,3,3
22,moderate,moderate,CoT_A,4,3,4
22,moderate,moderate,CoT_B,3,4,4
23,moderate,mild,SHAP,4,2,2
23,moderate,mild,CoT_A,3,3,2
23,moderate,mild,CoT_B,4,3,3
24,moderate,mild,SHAP,4,3,2
24,moderate,mild,CoT_A,3,3,2
24,moderate,mild,CoT_B,4,3,2
25,severe,severe,SHAP,4,2,3
25,severe,severe,CoT_A,4,3,3
25,severe,severe,CoT_B,2,2,2
26,severe,severe,SHAP,4,3,3
26,severe,severe,CoT_A,2,2,2
26,severe,severe,CoT_B,4,3,3
27,severe,severe,SHAP,4,3,3
27,severe,severe,CoT_A,2,3,2
27,severe,severe,CoT_B,4,4,3
28,severe,severe,SHAP,4,2,3
28,severe,severe,CoT_A,2,2,2
28,severe,severe,CoT_B,4,4,3
29,severe,severe,SHAP,4,3,3
29,severe,severe,CoT_A,4,3,3
29,severe,severe,CoT_B,1,2,1
30,severe,severe,SHAP,4,3,3
30,severe,severe,CoT_A,4,4,3
30,severe,severe,CoT_B,2,2,1
31,severe,mild,SHAP,4,2,2
31,severe,mild,CoT_A,2,2,3
31,severe,mild,CoT_B,3,2,2
32,severe,moderate,SHAP,4,2,2
32,severe,moderate,CoT_A,4,3,3
32,severe,moderate,CoT_B,3,3,3
